WRSR,WRSR-rank
0.754107829,97
0.736703965,113
0.726562179,126
0.748068317,104
0.74145332,110
0.748113461,103
0.722220209,130
0.729745043,120
0.71447961,142
0.730467847,119
0.741557115,109
0.716704796,137
0.717564582,135
0.720948476,132
0.725293551,128
0.715005485,141
0.727073582,125
0.7163253,139
0.733862732,116
0.710520067,148
0.716345354,138
0.713226464,145
0.70872653,150
0.721421038,131
0.701730044,163
0.708113138,152
0.716104565,140
0.695509779,172
0.692198197,176
0.691592997,179
0.692143086,177
0.694755674,173
0.703343409,161
0.681764638,195
0.687645252,184
0.706467879,155
0.684900793,190
0.677986732,204
0.691990473,178
0.700053262,168
0.700428028,166
0.70048304,165
0.699938533,169
0.681754648,196
0.682058174,194
0.691163804,180
0.688819307,183
0.679209003,202
0.689209596,182
0.680644225,199
0.670758851,210
0.681608891,197
0.660288836,221
0.680254913,200
0.670061392,212
0.663525579,217
0.658786918,224
0.654531413,228
0.652428556,230
0.65853598,225
